well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean,R,A,S,vertex,mm_to_surf
594,4077,22,CX,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",37470,87,52,116,6.281692579616768,-26.76945628,46.03092023907661,9861,4071,CTX,"paracentral lobule, anterior part",5.5,-26,44,4410,-1.341842
2985,4323,11,CX,Cl,"claustrum, right",40517,66,92,63,29.46321795,17.37107185,-6.841868384,9861,,,,26.5,27,4,0,
2801,4323,18,CX,Cl,"claustrum, right",41516,66,81,104,30.91635188,-19.97109357,12.528056136748097,9861,,,,26.5,-14,15,0,
2273,4440,18,CX,LGd,"dorsal lateral geniculate nucleus, left",41473,116,94,101,-24.47165931,-23.99558386,-2.00609414,9861,12922,THAL,dorsal lateral geneiculate nucleus,-23.5,-11,2,0,
2785,4266,17,CX,CA4,"CA4 field, right",41142,63,104,106,33.052748420075105,-30.72013244,-12.0205805,9861,12895,HIPP,CA4 field,29.5,-16,-8,0,
2793,4267,17,CX,DG,"dentate gyrus, right",41141,63,104,107,33.041807596574806,-31.66909954,-11.77894537,9861,,,,29.5,-17,-8,0,
2795,4782,72,CB,Dt,"dentate nucleus, left",73345,101,130,123,-9.975446434,-57.94032843,-33.47720001,9861,,,,-8.5,-33,-34,0,
2874,4788,67,CB,Emb,"emboliform nucleus, right",56000,84,125,118,9.328883823,-50.9790893,-29.47859833,9861,,,,8.5,-28,-29,0,
2858,4251,17,CX,S,"subiculum, left",41212,114,108,100,-23.13913942,-25.55586298,-17.8933144,9861,12896,HIPP,subiculum,-21.5,-10,-12,0,
2850,4254,17,CX,CA1,"CA1 field, left",41211,124,107,100,-32.82266015,-26.16477704,-17.13687576,9861,12892,HIPP,CA1 field,-31.5,-10,-11,0,
2866,4281,17,CX,TCd,"tail of caudate nucleus, left",41213,124,102,98,-32.45126543,-22.73440366,-12.69046663,9861,12901,STR,tail of the caudate nucleus,-31.5,-8,-6,0,
2809,4450,19,CX,DTA,"anterior group of nuclei, right",67019,84,85,109,13.07249012,-26.23339916,8.343471444,9861,12920,THAL,anterior group of nuclei,8.5,-19,11,0,
2817,4472,19,CX,DTLv,"lateral group of nuclei, right, ventral division",67020,75,86,108,21.93676335,-25.89599391,7.733839284,9861,12925,THAL,"lateral group of nuclei, ventral division",17.5,-18,10,0,
2825,4487,19,CX,ILr,"rostral group of intralaminar nuclei, right",73214,84,88,109,13.358386709435502,-26.9731467,5.343802191,9861,12929,THAL,rostral group of intralaminar nuclei,8.5,-19,8,0,
