well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
594,4077,22,CX,PCLa-i,"paracentral lobule, anterior part, right, inferior bank of gyrus",37470,87,52,116,6.281692579616768,-26.7694562819027,46.03092023907661,9861,4071.0,CTX,"paracentral lobule, anterior part"
2985,4323,11,CX,Cl,"claustrum, right",40517,66,92,63,29.463217952667,17.3710718485183,-6.84186838449224,9861,,,
2801,4323,18,CX,Cl,"claustrum, right",41516,66,81,104,30.9163518797962,-19.971093565767,12.528056136748097,9861,,,
2273,4440,18,CX,LGd,"dorsal lateral geniculate nucleus, left",41473,116,94,101,-24.4716593065446,-23.9955838588759,-2.00609413979824,9861,12922.0,THAL,dorsal lateral geneiculate nucleus
2785,4266,17,CX,CA4,"CA4 field, right",41142,63,104,106,33.052748420075105,-30.720132437617803,-12.0205804951394,9861,12895.0,HIPP,CA4 field
2793,4267,17,CX,DG,"dentate gyrus, right",41141,63,104,107,33.041807596574806,-31.669099542866,-11.778945374543,9861,,,
2795,4782,72,CB,Dt,"dentate nucleus, left",73345,101,130,123,-9.97544643424076,-57.9403284349634,-33.4772000122972,9861,,,
2874,4788,67,CB,Emb,"emboliform nucleus, right",56000,84,125,118,9.32888382302349,-50.9790893017917,-29.4785983264604,9861,,,
2858,4251,17,CX,S,"subiculum, left",41212,114,108,100,-23.1391394200596,-25.5558629822925,-17.893314395043898,9861,12896.0,HIPP,subiculum
2850,4254,17,CX,CA1,"CA1 field, left",41211,124,107,100,-32.8226601537855,-26.1647770418254,-17.1368757613601,9861,12892.0,HIPP,CA1 field
2866,4281,17,CX,TCd,"tail of caudate nucleus, left",41213,124,102,98,-32.4512654279861,-22.7344036587128,-12.6904666297962,9861,12901.0,STR,tail of the caudate nucleus
2809,4450,19,CX,DTA,"anterior group of nuclei, right",67019,84,85,109,13.0724901231804,-26.2333991644701,8.34347144363092,9861,12920.0,THAL,anterior group of nuclei
2817,4472,19,CX,DTLv,"lateral group of nuclei, right, ventral division",67020,75,86,108,21.9367633533849,-25.8959939102087,7.73383928358496,9861,12925.0,THAL,"lateral group of nuclei, ventral division"
